week,category,qty
2014-12-29,Accessories,19
2014-12-29,Baseball & Softball,2
2014-12-29,Camping & Hiking,64
2014-12-29,Cardio Equipment,166
2014-12-29,Cleats,306
2014-12-29,Electronics,55
2014-12-29,Fishing,66
2014-12-29,Fitness Accessories,4
2014-12-29,Girls' Apparel,12
2014-12-29,Golf Balls,17
2014-12-29,Golf Gloves,26
2014-12-29,Hockey,19
2014-12-29,Hunting & Shooting,2
2014-12-29,Indoor/Outdoor Games,222
2014-12-29,Lacrosse,8
2014-12-29,Men's Footwear,77
2014-12-29,Shop By Sport,148
2014-12-29,Trade-In,20
2014-12-29,Water Sports,55
2014-12-29,Women's Apparel,223
2015-01-05,Accessories,30
2015-01-05,Baseball & Softball,1
2015-01-05,Boxing & MMA,7
2015-01-05,Camping & Hiking,95
2015-01-05,Cardio Equipment,254
2015-01-05,Cleats,529
2015-01-05,Electronics,76
2015-01-05,Fishing,128
2015-01-05,Fitness Accessories,2
2015-01-05,Girls' Apparel,41
2015-01-05,Golf Apparel,8
2015-01-05,Golf Balls,43
2015-01-05,Golf Gloves,14
2015-01-05,Golf Shoes,13
2015-01-05,Hockey,16
2015-01-05,Hunting & Shooting,10
2015-01-05,Indoor/Outdoor Games,391
2015-01-05,Lacrosse,7
2015-01-05,Men's Footwear,147
2015-01-05,Shop By Sport,206
2015-01-05,Tennis & Racquet,4
2015-01-05,Trade-In,27
2015-01-05,Water Sports,106
2015-01-05,Women's Apparel,378
2015-01-12,Accessories,43
2015-01-12,Baseball & Softball,15
2015-01-12,Boxing & MMA,4
2015-01-12,Camping & Hiking,97
2015-01-12,Cardio Equipment,255
2015-01-12,Cleats,560
2015-01-12,Electronics,81
2015-01-12,Fishing,111
2015-01-12,Fitness Accessories,3
2015-01-12,Girls' Apparel,25
2015-01-12,Golf Apparel,4
2015-01-12,Golf Balls,41
2015-01-12,Golf Gloves,11
2015-01-12,Golf Shoes,5
2015-01-12,Hockey,18
2015-01-12,Hunting & Shooting,12
2015-01-12,Indoor/Outdoor Games,451
2015-01-12,Lacrosse,4
2015-01-12,Men's Footwear,140
2015-01-12,Shop By Sport,257
2015-01-12,Tennis & Racquet,24
2015-01-12,Trade-In,29
2015-01-12,Water Sports,102
2015-01-12,Women's Apparel,488
2015-01-19,Accessories,31
2015-01-19,Baseball & Softball,40
2015-01-19,Boxing & MMA,4
2015-01-19,Camping & Hiking,82
2015-01-19,Cardio Equipment,274
2015-01-19,Cleats,547
2015-01-19,Electronics,91
2015-01-19,Fishing,140
2015-01-19,Fitness Accessories,21
2015-01-19,Girls' Apparel,22
2015-01-19,Golf Apparel,4
2015-01-19,Golf Balls,21
2015-01-19,Golf Gloves,19
2015-01-19,Golf Shoes,13
2015-01-19,Hockey,13
2015-01-19,Hunting & Shooting,18
2015-01-19,Indoor/Outdoor Games,464
2015-01-19,Lacrosse,9
2015-01-19,Men's Footwear,128
2015-01-19,Shop By Sport,264
